Logging started at 28-02-21 at 16:43:15
Timestamp, Longitude, Latitude, Altitude, Roll, Pitch, Yaw, Velocity, Groundspeed, Airspeed, Current, Voltage
16:43:15.700291, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.702222, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.703649, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.705024, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.706296, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.708018, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.710122, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.712010, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.713844, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.715058, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.716828, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.719115, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
